symbol,base,quote,type,futures_available,active,spot,future
FIL/USDT,FIL,USDT,spot,True,True,True,True
FIO/USDT,FIO,USDT,spot,True,True,True,True
FIS/BTC,FIS,BTC,spot,True,True,True,True
FIS/USDT,FIS,USDT,spot,True,True,True,True
FLM/BTC,FLM,BTC,spot,True,True,True,True
FLM/USDT,FLM,USDT,spot,True,True,True,True
FLOKI/USDT,FLOKI,USDT,spot,True,True,True,True
FLOW/BTC,FLOW,BTC,spot,True,True,True,True
FLOW/USDT,FLOW,USDT,spot,True,True,True,True
FLUX/BTC,FLUX,BTC,spot,True,True,True,True
FLUX/USDT,FLUX,USDT,spot,True,True,True,True
FORM/USDT,FORM,USDT,spot,True,True,True,True
FORTH/BTC,FORTH,BTC,spot,True,True,True,True
FORTH/USDT,FORTH,USDT,spot,True,True,True,True
FTT/USDT,FTT,USDT,spot,True,True,True,True
FUN/USDT,FUN,USDT,spot,True,True,True,True
FXS/USDT,FXS,USDT,spot,True,True,True,True
G/USDT,G,USDT,spot,True,True,True,True
GALA/BTC,GALA,BTC,spot,True,True,True,True
GALA/USDT,GALA,USDT,spot,True,True,True,True
GAS/BTC,GAS,BTC,spot,True,True,True,True
GAS/USDT,GAS,USDT,spot,True,True,True,True
GHST/USDT,GHST,USDT,spot,True,True,True,True
GLM/BTC,GLM,BTC,spot,True,True,True,True
GLM/USDT,GLM,USDT,spot,True,True,True,True
GLMR/BTC,GLMR,BTC,spot,True,True,True,True
GLMR/USDT,GLMR,USDT,spot,True,True,True,True
GMT/BTC,GMT,BTC,spot,True,True,True,True
GMT/USDT,GMT,USDT,spot,True,True,True,True
GMX/USDT,GMX,USDT,spot,True,True,True,True
GNO/USDT,GNO,USDT,spot,True,True,True,True
GNS/USDT,GNS,USDT,spot,True,True,True,True
GPS/USDT,GPS,USDT,spot,True,True,True,True
GRT/BTC,GRT,BTC,spot,True,True,True,True
GRT/USDT,GRT,USDT,spot,True,True,True,True
GTC/USDT,GTC,USDT,spot,True,True,True,True
GUN/USDT,GUN,USDT,spot,True,True,True,True
HAEDAL/USDT,HAEDAL,USDT,spot,True,True,True,True
HBAR/BTC,HBAR,BTC,spot,True,True,True,True
HBAR/USDT,HBAR,USDT,spot,True,True,True,True
HEI/BTC,HEI,BTC,spot,True,True,True,True
HEI/USDT,HEI,USDT,spot,True,True,True,True
HFT/BTC,HFT,BTC,spot,True,True,True,True
HFT/USDT,HFT,USDT,spot,True,True,True,True
HIFI/USDT,HIFI,USDT,spot,True,True,True,True
HIGH/USDT,HIGH,USDT,spot,True,True,True,True
HIVE/BTC,HIVE,BTC,spot,True,True,True,True
HIVE/USDT,HIVE,USDT,spot,True,True,True,True
HMSTR/USDT,HMSTR,USDT,spot,True,True,True,True
HOME/USDT,HOME,USDT,spot,True,True,True,True
HOOK/USDT,HOOK,USDT,spot,True,True,True,True
HOT/USDT,HOT,USDT,spot,True,True,True,True
HUMA/USDT,HUMA,USDT,spot,True,True,True,True
HYPER/USDT,HYPER,USDT,spot,True,True,True,True
ICP/BTC,ICP,BTC,spot,True,True,True,True
ICP/USDT,ICP,USDT,spot,True,True,True,True
ICX/BTC,ICX,BTC,spot,True,True,True,True
ICX/USDT,ICX,USDT,spot,True,True,True,True
